playerId,playerFullName,countryCode,clubName,inferredStartDate,inferredEndDate,inferredSeverity,inferredInjuryId
2ed30033-7671-485b-ab45-f1c188ff0b0e,Ismaily,FRA,Lille,2024-08-30,2024-12-28,SEVERE,f368519a-4ecd-4dfa-aacb-5e54d059449c
878e201a-ce08-4be7-984a-01a36ec23015,Iván Balliu,FRA,Metz,2024-08-30,2025-01-06,SEVERE,fc634cd0-9717-446f-9ce6-35cf5dfbb331
878e201a-ce08-4be7-984a-01a36ec23015,Iván Balliu,ESP,Rayo Vallecano,2024-08-30,2025-01-06,SEVERE,fc634cd0-9717-446f-9ce6-35cf5dfbb331
bbf5293a-07c4-4ad0-bf36-646d74681d87,Iván Marcone,ESP,Elche,2021-08-30,2022-01-18,SEVERE,28567cf8-d6c3-4958-b667-dea73d572b8e
6904b6b1-7ca6-4f61-be23-2916411672c0,Jack O'Connell,ENG,Sheffield United,2020-08-30,2021-02-25,SEVERE,c147855e-c6f7-4f22-8db9-4209c122e7c8
64bca991-4074-4ab7-8daa-7e95f3048d3a,Jacob Ramsey,ENG,Aston Villa,2023-08-30,2024-01-14,SEVERE,864b87e3-b038-45fe-b39e-96f620ec3f3a
d7d613c4-45c4-4f6b-8f50-a4ae605edba9,James Ward-Prowse,ENG,Southampton,2024-08-30,2025-01-28,SEVERE,9f3e6c60-d212-4a59-92ca-bd4a699b235c
d7d613c4-45c4-4f6b-8f50-a4ae605edba9,James Ward-Prowse,ENG,West Ham,2024-08-30,2025-01-28,SEVERE,9f3e6c60-d212-4a59-92ca-bd4a699b235c
65e20f30-9f9b-452b-94ab-860ea411a23e,Jaroslav Plašil,FRA,Bordeaux,2017-08-30,2017-12-12,SEVERE,aa7c6684-4de5-47db-ab39-4b9fd98ae179
2018689f-2ba4-4200-a4a6-591d555182f0,Jason Denayer,FRA,Lyon,2021-08-30,2022-01-01,SEVERE,a06bab80-bed5-46a7-89b2-218bcf902e7a
964719aa-e364-4986-833d-dc77e3da4c99,Jason Puncheon,ENG,Crystal Palace,2017-08-30,2018-02-25,SEVERE,e2223124-54c4-440f-95c8-f4a68bf7ad2f
144359a4-df0c-474d-807f-ea2c9b036be8,Javi García,ESP,Real Betis,2018-08-30,2019-01-22,SEVERE,25b5dafb-9ea2-4a24-a13f-5babf5f3ef9f
b62e9a62-0be9-41ce-80ab-74fda82b6701,Javi Moyano,ESP,Valladolid,2020-08-30,2021-02-10,SEVERE,a0ca63da-4429-491e-b4a5-c16c90a593f7
e57ee607-1d73-40c6-a3d7-d929b92bc479,Javi Puado,ESP,Espanyol,2025-08-30,2026-02-23,SEVERE,2661778b-a55a-4b13-ac26-2819aa4d1a5b
c08dd96e-c4d0-4ca1-beb7-b0a1daee0fdb,Javier Eraso,ESP,Leganés,2018-08-30,2019-01-23,SEVERE,3764e4fe-94b4-40d4-84e3-2801ef04c95d
4d3b094e-56f0-41e4-9913-de48e71b86dc,Jean-Philippe Mateta,GER,Mainz 05,2019-08-30,2019-12-18,SEVERE,a285f851-478b-417a-8132-c7336cd8f6a0
4d3b094e-56f0-41e4-9913-de48e71b86dc,Jean-Philippe Mateta,ENG,Crystal Palace,2019-08-30,2019-12-18,SEVERE,a285f851-478b-417a-8132-c7336cd8f6a0
a1d68488-0b87-4099-ba99-1c9c3b52e23c,Jeff Reine-Adélaïde,FRA,Angers,2019-08-30,2020-02-25,SEVERE,082b9ee9-d1dc-4b5c-9bee-e8ccdc073b7a
7794b7ac-9ae7-46e0-8767-aa956cd1cc26,Jeffrey Gouweleeuw,GER,Augsburg,2025-08-30,2026-02-08,SEVERE,ec9dabc5-2810-4a8d-a463-b44b7548fd1e
a21758f3-f59c-4e26-b9cb-1217ed749f23,Jeison Murillo,ESP,Celta Vigo,2021-08-30,2021-12-30,SEVERE,9fce0367-dc91-42ac-a6e7-7cbd78704e89
2244d78e-4eb2-4d88-aa0f-100a58b3ac34,Jens Stryger Larsen,ITA,Udinese,2021-08-30,2022-01-27,SEVERE,e6f18b26-83a4-41d7-8eb9-86d38d1a3395
3fd0cc22-7af7-4651-8c58-56856a662fcb,Jeremy Doku,FRA,Rennes,2021-08-30,2022-01-19,SEVERE,6c15302d-e2ab-40b0-aa51-82adaa6bc826
ed346200-b719-458c-a851-bdd02025ad56,Jerry St. Juste,GER,Mainz 05,2021-08-30,2022-02-22,SEVERE,7c545aec-93f7-4256-b117-fe044dbf51f9
b5c7b68e-adbb-402a-b349-b98132d092ef,Ji Dong-won,GER,Augsburg,2017-08-30,2018-02-22,SEVERE,d20e5237-6ae0-498d-99b5-a096ea04bf25
e5ffcef0-a44c-4495-a49a-b062b710319d,Joe Willock,ENG,Newcastle,2023-08-30,2024-02-11,SEVERE,a3862098-4f66-46dd-a694-03b9f136e2c4
63011d54-dd3f-4f3e-9cda-fc1886557317,Joe Worrall,ENG,Nottingham,2023-08-30,2024-01-14,SEVERE,9c33ba04-3541-4cd4-96c8-22fc780f9218
623d42cd-4eab-49a4-9e2b-7875f7b959cd,Johan Mojica,ESP,Mallorca,2022-08-30,2023-02-25,SEVERE,b274b780-b70e-4d9d-a498-0447362dbdc5
623d42cd-4eab-49a4-9e2b-7875f7b959cd,Johan Mojica,ESP,Elche,2022-08-30,2023-02-25,SEVERE,b274b780-b70e-4d9d-a498-0447362dbdc5
dfb3369c-24ca-4dfa-bccc-57f1faaf6600,Jonas Hofmann,GER,Gladbach,2024-08-30,2025-01-19,SEVERE,bf5ec134-aa24-4902-bfb4-3e76a96f0d62
dfb3369c-24ca-4dfa-bccc-57f1faaf6600,Jonas Hofmann,GER,Leverkusen,2024-08-30,2025-01-19,SEVERE,bf5ec134-aa24-4902-bfb4-3e76a96f0d62
1f0375e0-d9a7-4e2c-a454-30de72aaf9ab,Jonathan Burkardt,GER,Mainz 05,2022-08-30,2023-02-06,SEVERE,6751e673-bbe9-4388-907e-1bdadf7574fa
72918112-d934-4972-893e-b1520b2b9db3,Jonathan Delaplace,FRA,Caen,2017-08-30,2018-02-04,SEVERE,fd53db92-0dd6-4af3-92ad-7e24edfdab62
f8d5f244-3eaf-42b3-bf20-9a3a6cf63954,Jonathan Schmid,GER,Augsburg,2021-08-30,2022-01-16,SEVERE,d0b0c973-96ea-4896-9049-5c88ddf1d9a5
f8d5f244-3eaf-42b3-bf20-9a3a6cf63954,Jonathan Schmid,GER,Freiburg,2021-08-30,2022-01-16,SEVERE,d0b0c973-96ea-4896-9049-5c88ddf1d9a5
4be24409-fc56-4401-9aca-e37c00630ba1,Jonjo Shelvey,ENG,Newcastle,2018-08-30,2018-12-09,SEVERE,19e86f57-38b8-40b4-9c97-d2f5262cfa5a
449382e3-3d2a-43fc-831b-ae13d586b2de,Jonny Castro,ESP,Celta Vigo,2020-08-30,2021-02-25,SEVERE,075f3fd6-8def-486a-aced-dcc9b6963a84
449382e3-3d2a-43fc-831b-ae13d586b2de,Jonny Castro,ENG,Wolves,2020-08-30,2021-02-25,SEVERE,075f3fd6-8def-486a-aced-dcc9b6963a84
449382e3-3d2a-43fc-831b-ae13d586b2de,Jonny Castro,ESP,Alavés,2020-08-30,2021-02-25,SEVERE,075f3fd6-8def-486a-aced-dcc9b6963a84
da86b72e-08d1-4900-9024-a24a15e3d719,Joseba Zaldúa,ESP,Real Sociedad,2020-08-30,2021-01-24,SEVERE,c2cdcd7a-6129-46f9-ab04-0de9c0d63254
da86b72e-08d1-4900-9024-a24a15e3d719,Joseba Zaldúa,ESP,Leganés,2020-08-30,2021-01-24,SEVERE,c2cdcd7a-6129-46f9-ab04-0de9c0d63254
5afaa437-7efb-4a4d-af96-d2255520fdec,Joseph Aidoo,ESP,Celta Vigo,2023-08-30,2024-02-25,SEVERE,db6ef05a-a28e-4cdb-9827-2b0cf62a0f82
e794107c-f7ac-40e1-8644-a7ab2729c177,José Campaña,ESP,Levante,2020-08-30,2021-02-25,SEVERE,09c32642-aeb6-4ddd-90c6-a41ef6560c14
ac3ee4e2-4022-4a4b-9691-01d10340e910,José Holebas,ENG,Watford,2019-08-30,2019-12-13,SEVERE,23b683c5-d58e-40b6-a53e-db0591286125
99b07611-fa5e-4f52-89a3-9360512bb4c2,José Luis Palomino,ITA,Atalanta,2022-08-30,2023-01-24,SEVERE,cd38f886-d4f7-4b5e-8dd0-cd03e71df52d
cc523083-2505-4f56-be21-e1aa20a57ca0,José Ángel,ESP,Eibar,2020-08-30,2020-12-20,SEVERE,d049a1f6-b546-4ef5-aed5-96763dead0ff
7f1681cc-a0a4-428d-9794-ab109cb5dab8,Joël Matip,ENG,Liverpool,2022-08-30,2023-01-08,SEVERE,03118a09-93af-4b06-ba15-4d4da489bb1b
75542e95-f6b9-4390-9f4f-0c5fe1b0034d,Julian Korb,GER,Hannover 96,2018-08-30,2018-12-10,SEVERE,2e6cfa50-3a67-4cbe-81e4-8fd3002c9bef
644ef39a-7a93-4f11-ab2f-be13e16c44f1,Justin Kluivert,ENG,Bournemouth,2025-08-30,2025-12-14,SEVERE,290a09c3-e980-4a1b-9c5f-89f07a300160
df1f9fb6-ac52-4ee9-a9c8-2ebfbebe1113,Jérémy Morel,FRA,Lyon,2018-08-30,2019-01-20,SEVERE,01a817ef-5e2b-4602-8f96-8095120fb080
df1f9fb6-ac52-4ee9-a9c8-2ebfbebe1113,Jérémy Morel,FRA,Lorient,2018-08-30,2019-01-20,SEVERE,01a817ef-5e2b-4602-8f96-8095120fb080
df1f9fb6-ac52-4ee9-a9c8-2ebfbebe1113,Jérémy Morel,FRA,Lorient,2021-08-30,2022-01-22,SEVERE,b95a6380-f173-4234-acea-e7bd1e58848c
df1f9fb6-ac52-4ee9-a9c8-2ebfbebe1113,Jérémy Morel,FRA,Lyon,2021-08-30,2022-01-22,SEVERE,b95a6380-f173-4234-acea-e7bd1e58848c
92caed50-c876-461b-9079-6564edb4679c,Kenny Tete,ENG,Fulham,2023-08-30,2024-01-08,SEVERE,eb47c775-264e-415b-8f51-ecadf8721b08
44e3ae94-2bb8-4496-a07d-8385521432cb,Kevin Akpoguma,GER,Hoffenheim,2025-08-30,2026-02-12,SEVERE,a92f0586-994a-42bb-9d96-0a5b6199e98a
